paper_id,review_status,publication_grade,source_reviewed,database_audit_records,activity_records,mechanism_claims,triage_class,target_queue,recommended_next_action,failure_codes,rework_request_codes,rework_request_count,packet_material_staging_status,packet_material_staging_generated_at,packet_material_change_at,packet_material_changed,packet_locator_index_repair_at,packet_locator_index_repair_count,packet_material_staged_asset_count,packet_material_staged_text_record_count,packet_material_staged_table_count,bounded_rework_result_status,bounded_rework_result_updated_at,material_staging_newer_than_bounded_rework,review_report,quality_feedback
doi__10.1002_cbic.202100609,needs_targeted_rework,False,True,554,376,3,figure_exact_value_or_digitization_needed,manual_digitization_or_keep_backlog,Owner-worker already exhausted the current packet; use validated manual digitization or keep conflict/unresolved.,cytotoxicity_database_rows_remain_source_conflict;figure4_exact_cytotoxicity_percent_values_unrecoverable;final_adjudication_blocked_by_unrecoverable_figure4_gap;obtainable_only_source_gap_documented;supplementary_table_s5_structured_after_repair,figure4_exact_cytotoxicity_percent_values_unrecoverable;full_source_review_not_completed;source_review_rework_still_open_after_partial_repair,3,,,,,,,,,,blocked_after_best_effort,2026-05-02T01:42:27Z,false,papers/doi__10.1002_cbic.202100609/final/review_report.json,papers/doi__10.1002_cbic.202100609/work/review/quality_feedback.json
doi__10.1016_j.bbrc.2004.05.046,needs_targeted_rework,False,True,15,0,1,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-01T16:22:19Z,false,papers/doi__10.1016_j.bbrc.2004.05.046/final/review_report.json,papers/doi__10.1016_j.bbrc.2004.05.046/work/review/quality_feedback.json
doi__10.1016_j.celrep.2020.108254,needs_targeted_rework,False,True,15,0,3,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-01T17:50:04Z,false,papers/doi__10.1016_j.celrep.2020.108254/final/review_report.json,papers/doi__10.1016_j.celrep.2020.108254/work/review/quality_feedback.json
doi__10.1016_j.celrep.2021.108959,needs_targeted_rework,False,True,9,0,3,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-01T17:59:32Z,false,papers/doi__10.1016_j.celrep.2021.108959/final/review_report.json,papers/doi__10.1016_j.celrep.2021.108959/work/review/quality_feedback.json
doi__10.1016_j.isci.2020.100999,needs_targeted_rework,False,True,51,0,2,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-01T16:16:34Z,false,papers/doi__10.1016_j.isci.2020.100999/final/review_report.json,papers/doi__10.1016_j.isci.2020.100999/work/review/quality_feedback.json
doi__10.1016_j.jacbts.2020.10.003,needs_targeted_rework,False,True,13,0,3,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-01T17:27:45Z,false,papers/doi__10.1016_j.jacbts.2020.10.003/final/review_report.json,papers/doi__10.1016_j.jacbts.2020.10.003/work/review/quality_feedback.json
doi__10.1016_j.jmb.2009.10.032,needs_targeted_rework,False,True,8,0,1,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-01T14:34:59Z,false,papers/doi__10.1016_j.jmb.2009.10.032/final/review_report.json,papers/doi__10.1016_j.jmb.2009.10.032/work/review/quality_feedback.json
doi__10.1016_j.virol.2006.01.029,needs_targeted_rework,False,True,56,0,2,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-01T17:55:30Z,false,papers/doi__10.1016_j.virol.2006.01.029/final/review_report.json,papers/doi__10.1016_j.virol.2006.01.029/work/review/quality_feedback.json
doi__10.1016_j.virol.2010.11.014,needs_targeted_rework,False,True,12,6,3,figure_exact_value_or_digitization_needed,manual_digitization_or_keep_backlog,Owner-worker already exhausted the current packet; use validated manual digitization or keep conflict/unresolved.,database_exact_values_preserved_as_source_conflict;exact_primary_activity_values_unrecoverable;exact_primary_text_or_table_ec50_values_unrecoverable;obtainable_only_source_gap_documented,exact_primary_text_or_table_ec50_values_unrecoverable;full_source_review_not_completed,2,,,,,,,,,,blocked_after_best_effort,2026-05-02T02:44:48Z,false,papers/doi__10.1016_j.virol.2010.11.014/final/review_report.json,papers/doi__10.1016_j.virol.2010.11.014/work/review/quality_feedback.json
doi__10.1016_j.virol.2017.07.033,needs_targeted_rework,False,True,26,0,3,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-01T18:25:11Z,false,papers/doi__10.1016_j.virol.2017.07.033/final/review_report.json,papers/doi__10.1016_j.virol.2017.07.033/work/review/quality_feedback.json
