paper_id,triage_class,target_queue,audit_bucket,ready_for_owner_worker_after_material_repair,recommended_next_action_from_audit,material_queue_status,analysis_queue_status,review_status,publication_grade,material_exhausted,total_pdf_files,total_xml_files,total_package_files,total_supplementary_files,total_true_supplementary_candidates,total_html_or_landing_supplementary,total_unknown_supplementary,stageable_asset_name_count,package_member_count,package_image_member_count,figure_asset_count,xml_table_locator_count,supplementary_table_count,pdf_table_count,database_row_total,open_rework_ticket_count,rework_request_count,rework_response_count,material_rework_ticket_count,analysis_rework_ticket_count,adjudication_rework_ticket_count,rework_target_queue_counts,packet_material_staging_status,packet_material_staging_generated_at,packet_material_change_at,packet_material_changed,packet_locator_index_repair_at,packet_locator_index_repair_count,packet_material_staged_asset_count,packet_material_staged_text_record_count,packet_material_staged_table_count,bounded_rework_result_updated_at,material_staging_newer_than_bounded_rework,material_repair_surface,packet_material_staging_report,feedback_failure_codes,feedback_owner_workers,bounded_result_status,bounded_result_reason_code,failure_codes,has_hard_missing_source_gap_signal,has_analysis_owner_gap_signal,found_asset_roots,alternate_identifier_roots,alternate_identifier_material_present,stageable_asset_names,sample_paths_checked
doi__10.1016_j.bbrc.2004.05.046,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,still_unrecoverable_backlog,false,Owner-worker already ran after available material repair and strict gates remained blocked; keep non-publication-grade until new evidence or policy change.,material_extracted_with_gaps,analysis_needs_analysis_rework,needs_targeted_rework,false,all_true,4,6,4,0,0,0,0,2,22,16,16,27,0,0,15,1,1,1,0,3,0,"{""analysis"": 3}",,,,false,,0,0,0,0,2026-05-01T16:22:19Z,false,none,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,worker-2;worker-4 + worker-6;worker-6,blocked_after_best_effort,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,false,false,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1016_j.bbrc.2004.05.046;/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/downloaded_assets/papers/doi__10.1016_j.bbrc.2004.05.046,,false,local-DBAASP-PMC7111000.tar.gz;local-DRAMP-15184046.tar.gz,paper_packets/doi__10.1016_j.bbrc.2004.05.046/packet_manifest.json;paper_packets/doi__10.1016_j.bbrc.2004.05.046/extraction/extraction_status.json;paper_packets/doi__10.1016_j.bbrc.2004.05.046/locators/locator_index.json;papers/doi__10.1016_j.bbrc.2004.05.046/work/review/quality_feedback.json
doi__10.1016_j.celrep.2020.108254,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,still_unrecoverable_backlog,false,Owner-worker already ran after available material repair and strict gates remained blocked; keep non-publication-grade until new evidence or policy change.,material_extracted_with_gaps,analysis_needs_analysis_rework,needs_targeted_rework,false,all_true,4,6,4,4,4,0,0,4,34,24,24,65,0,0,15,1,1,1,0,3,0,"{""analysis"": 3}",,,,false,,0,0,0,0,2026-05-01T17:50:04Z,false,none,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,worker-2;worker-4 + worker-6;worker-6,blocked_after_best_effort,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,false,false,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1016_j.celrep.2020.108254;/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/downloaded_assets/papers/doi__10.1016_j.celrep.2020.108254,,false,local-DBAASP-PMC7510585.tar.gz;local-DRAMP-33007239.tar.gz;local-DRAMP-main.pdf;local-DRAMP-mmc1.pdf,paper_packets/doi__10.1016_j.celrep.2020.108254/packet_manifest.json;paper_packets/doi__10.1016_j.celrep.2020.108254/extraction/extraction_status.json;paper_packets/doi__10.1016_j.celrep.2020.108254/locators/locator_index.json;papers/doi__10.1016_j.celrep.2020.108254/work/review/quality_feedback.json
doi__10.1016_j.celrep.2021.108959,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,still_unrecoverable_backlog,false,Owner-worker already ran after available material repair and strict gates remained blocked; keep non-publication-grade until new evidence or policy change.,material_extracted_with_gaps,analysis_needs_analysis_rework,needs_targeted_rework,false,all_true,2,4,2,0,0,0,0,1,20,12,12,48,0,0,9,1,1,1,0,3,0,"{""analysis"": 3}",,,,false,,0,0,0,0,2026-05-01T17:59:32Z,false,none,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,worker-2;worker-4 + worker-6;worker-6,blocked_after_best_effort,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,false,false,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1016_j.celrep.2021.108959;/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/downloaded_assets/papers/doi__10.1016_j.celrep.2021.108959,,false,local-DBAASP-PMC7985926.tar.gz,paper_packets/doi__10.1016_j.celrep.2021.108959/packet_manifest.json;paper_packets/doi__10.1016_j.celrep.2021.108959/extraction/extraction_status.json;paper_packets/doi__10.1016_j.celrep.2021.108959/locators/locator_index.json;papers/doi__10.1016_j.celrep.2021.108959/work/review/quality_feedback.json
doi__10.1016_j.isci.2020.100999,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,still_unrecoverable_backlog,false,Owner-worker already ran after available material repair and strict gates remained blocked; keep non-publication-grade until new evidence or policy change.,material_extracted_with_gaps,analysis_needs_analysis_rework,needs_targeted_rework,false,all_true,4,6,4,2,2,0,0,3,36,28,28,0,0,0,51,1,1,1,0,3,0,"{""analysis"": 3}",,,,false,,0,0,0,0,2026-05-01T16:16:34Z,false,none,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,worker-2;worker-4 + worker-6;worker-6,blocked_after_best_effort,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,false,false,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1016_j.isci.2020.100999;/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/downloaded_assets/papers/doi__10.1016_j.isci.2020.100999,,false,local-DBAASP-PMC7104201.tar.gz;local-DRAMP-32252021.tar.gz;local-DRAMP-mmc1.pdf,paper_packets/doi__10.1016_j.isci.2020.100999/packet_manifest.json;paper_packets/doi__10.1016_j.isci.2020.100999/extraction/extraction_status.json;paper_packets/doi__10.1016_j.isci.2020.100999/locators/locator_index.json;papers/doi__10.1016_j.isci.2020.100999/work/review/quality_feedback.json
doi__10.1016_j.jacbts.2020.10.003,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,still_unrecoverable_backlog,false,Owner-worker already ran after available material repair and strict gates remained blocked; keep non-publication-grade until new evidence or policy change.,material_extracted_with_gaps,analysis_needs_analysis_rework,needs_targeted_rework,false,all_true,4,6,4,2,2,0,0,3,24,16,16,0,0,0,13,1,1,1,0,3,0,"{""analysis"": 3}",,,,false,,0,0,0,0,2026-05-01T17:27:45Z,false,none,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,worker-2;worker-4 + worker-6;worker-6,blocked_after_best_effort,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,false,false,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1016_j.jacbts.2020.10.003;/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/downloaded_assets/papers/doi__10.1016_j.jacbts.2020.10.003,,false,local-DBAASP-PMC7566794.tar.gz;local-DRAMP-33102950.tar.gz;local-DRAMP-mmc1.pdf,paper_packets/doi__10.1016_j.jacbts.2020.10.003/packet_manifest.json;paper_packets/doi__10.1016_j.jacbts.2020.10.003/extraction/extraction_status.json;paper_packets/doi__10.1016_j.jacbts.2020.10.003/locators/locator_index.json;papers/doi__10.1016_j.jacbts.2020.10.003/work/review/quality_feedback.json
doi__10.1016_j.jmb.2009.10.032,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,still_unrecoverable_backlog,false,Owner-worker already ran after available material repair and strict gates remained blocked; keep non-publication-grade until new evidence or policy change.,material_extracted_with_gaps,analysis_needs_analysis_rework,needs_targeted_rework,false,all_true,4,4,4,0,0,0,0,2,22,16,16,18,0,0,8,1,1,1,0,3,0,"{""analysis"": 3}",,,,false,,0,0,0,0,2026-05-01T14:34:59Z,false,none,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,worker-2;worker-4 + worker-6;worker-6,blocked_after_best_effort,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,false,false,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1016_j.jmb.2009.10.032;/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/downloaded_assets/papers/doi__10.1016_j.jmb.2009.10.032,,false,local-DBAASP-PMC2794126.tar.gz;local-DRAMP-19853613.tar.gz,paper_packets/doi__10.1016_j.jmb.2009.10.032/packet_manifest.json;paper_packets/doi__10.1016_j.jmb.2009.10.032/extraction/extraction_status.json;paper_packets/doi__10.1016_j.jmb.2009.10.032/locators/locator_index.json;papers/doi__10.1016_j.jmb.2009.10.032/work/review/quality_feedback.json
doi__10.1016_j.virol.2006.01.029,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,still_unrecoverable_backlog,false,Owner-worker already ran after available material repair and strict gates remained blocked; keep non-publication-grade until new evidence or policy change.,material_extracted_with_gaps,analysis_needs_analysis_rework,needs_targeted_rework,false,all_true,4,6,4,0,0,0,0,2,26,20,20,0,0,0,56,1,1,1,0,3,0,"{""analysis"": 3}",,,,false,,0,0,0,0,2026-05-01T17:55:30Z,false,none,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,worker-2;worker-4 + worker-6;worker-6,blocked_after_best_effort,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,false,false,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1016_j.virol.2006.01.029;/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/downloaded_assets/papers/doi__10.1016_j.virol.2006.01.029,,false,local-DBAASP-PMC7111894.tar.gz;local-DRAMP-16510163.tar.gz,paper_packets/doi__10.1016_j.virol.2006.01.029/packet_manifest.json;paper_packets/doi__10.1016_j.virol.2006.01.029/extraction/extraction_status.json;paper_packets/doi__10.1016_j.virol.2006.01.029/locators/locator_index.json;papers/doi__10.1016_j.virol.2006.01.029/work/review/quality_feedback.json
doi__10.1016_j.virol.2017.07.033,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,still_unrecoverable_backlog,false,Owner-worker already ran after available material repair and strict gates remained blocked; keep non-publication-grade until new evidence or policy change.,material_extracted_with_gaps,analysis_needs_analysis_rework,needs_targeted_rework,false,all_true,2,4,2,0,0,0,0,1,17,14,14,16,0,0,26,1,1,1,0,3,0,"{""analysis"": 3}",,,,false,,0,0,0,0,2026-05-01T18:25:11Z,false,none,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,worker-2;worker-4 + worker-6;worker-6,blocked_after_best_effort,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,false,false,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1016_j.virol.2017.07.033;/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/downloaded_assets/papers/doi__10.1016_j.virol.2017.07.033,,false,local-DBAASP-PMC7112077.tar.gz,paper_packets/doi__10.1016_j.virol.2017.07.033/packet_manifest.json;paper_packets/doi__10.1016_j.virol.2017.07.033/extraction/extraction_status.json;paper_packets/doi__10.1016_j.virol.2017.07.033/locators/locator_index.json;papers/doi__10.1016_j.virol.2017.07.033/work/review/quality_feedback.json
doi__10.1016_j.virusres.2006.03.001,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,still_unrecoverable_backlog,false,Owner-worker already ran after available material repair and strict gates remained blocked; keep non-publication-grade until new evidence or policy change.,material_extracted_with_gaps,analysis_needs_analysis_rework,needs_targeted_rework,false,all_true,4,6,4,20,0,20,0,2,26,20,20,10,0,0,94,1,1,1,0,3,0,"{""analysis"": 3}",,,,false,,0,0,0,0,2026-05-01T18:28:36Z,false,none,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,worker-2;worker-4 + worker-6;worker-6,blocked_after_best_effort,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,false,false,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1016_j.virusres.2006.03.001;/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/downloaded_assets/papers/doi__10.1016_j.virusres.2006.03.001,,false,local-DBAASP-PMC2582734.tar.gz;local-DRAMP-16616792.tar.gz,paper_packets/doi__10.1016_j.virusres.2006.03.001/packet_manifest.json;paper_packets/doi__10.1016_j.virusres.2006.03.001/extraction/extraction_status.json;paper_packets/doi__10.1016_j.virusres.2006.03.001/locators/locator_index.json;papers/doi__10.1016_j.virusres.2006.03.001/work/review/quality_feedback.json
doi__10.1016_s0140-6736(04)15788-7,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,still_unrecoverable_backlog,false,Owner-worker already ran after available material repair and strict gates remained blocked; keep non-publication-grade until new evidence or policy change.,material_extracted_with_gaps,analysis_needs_analysis_rework,needs_targeted_rework,false,all_true,4,6,4,0,0,0,0,2,38,32,32,28,0,0,21,1,1,1,0,3,0,"{""analysis"": 3}",,,,false,,0,0,0,0,2026-05-02T00:55:15Z,false,none,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,worker-2;worker-4 + worker-6;worker-6,blocked_after_best_effort,,database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,false,false,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1016_s0140-6736(04)15788-7;/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/downloaded_assets/papers/doi__10.1016_s0140-6736(04)15788-7,,false,local-DBAASP-PMC7140173.tar.gz;local-DRAMP-15043961.tar.gz,paper_packets/doi__10.1016_s0140-6736(04)15788-7/packet_manifest.json;paper_packets/doi__10.1016_s0140-6736(04)15788-7/extraction/extraction_status.json;paper_packets/doi__10.1016_s0140-6736(04)15788-7/locators/locator_index.json;papers/doi__10.1016_s0140-6736(04)15788-7/work/review/quality_feedback.json
