paper_id	database	source_id	error_type	db_peptide	db_organism	db_endpoint	db_value	source_table	source_row	source_col	source_value	from_figure	claude_verdict	claude_note	reason
doi__10.1021_acs.jmedchem.3c00460	DBAASP	DBAASPS_21071	value_mismatch	dln69	Human lung carcinoma A549	IC50	6	5	dIn69 A549	IC50 [uM]	8	True	REAL	REAL — Tabular row/col read gives precise 8; database 6 contradicts it, matching identifiers.	Same peptide/cell/IC50 source cell reports 8, not DB value 6.
doi__10.1021_acs.jmedchem.3c00460	DBAASP	DBAASPS_21083	value_mismatch	HP3	Human lung carcinoma A549	IC50	5	5	HP3 A549	IC50 [uM]	8	True	REAL	REAL — Values 5 vs 8 differ clearly; same organism, endpoint, units; integer mismatch genuine.	Same peptide/cell/IC50 source cell reports 8, not DB value 5.
doi__10.1021_acs.jmedchem.3c00460	DBAASP	DBAASPS_21070	value_mismatch	ln69	Human embryonic kidney HEK293 cells	IC50	20	5	In69 HEK293	IC50 [uM]	45	True	REAL	REAL — Figure shows 45 µM IC50; database's 20 µM lacks source support, contradicting.	Provided cell for ln69/In69 HEK293 IC50 is 45 uM, not DB value 20 uM.
doi__10.1021_acs.jmedchem.3c00460	DBAASP	DBAASPS_21071	value_mismatch	dln69	Human embryonic kidney HEK293 cells	IC50	80	5	dIn69 HEK293	IC50 [uM]	87	True	REAL	REAL — 80 ≠ 87; distinct figure value, not roundable to 80, same peptide.	Provided cell for dln69/dIn69 HEK293 IC50 is 87 uM, not DB value 80 uM.
doi__10.3390_ijms232113316	APD6	APD6:AP03575	endpoint_mismatch	RLRAPPPFHKRCVCLCRTAPPP	Staphylococcus aureus	MIC	6-12 uM	2	Staphylococcus aureus	MBC b/MFC c (μM) / Gram-positive bacteria	6–12	False	REAL	REAL — source value 6–12 is the MBC/MFC column, but database labels it MIC.	DB labels the S. aureus 6-12 uM claim as MIC, but the source cell carrying that value is under MBC/MFC.
doi__10.1016_j.antiviral.2013.11.013	DBAASP	DBAASP:DBAASPR_4330	endpoint_mismatch		Vero cells	IC50	46.71±3.80	1	Hp1036	CC50 (μM)b	46.71 ± 3.80	False	REAL	REAL — Source figure column explicitly reads CC50, but DBAASP labels identical value/organism as IC50.	Same value is in source for Vero cells cytotoxicity, but source endpoint is CC50, not IC50.
doi__10.1016_j.antiviral.2013.11.013	DBAASP	DBAASP:DBAASPR_4330	endpoint_mismatch		HSV-1	IC50 E	4.29±0.35	1	Hp1036	EC50 (μM)a in the following assay	4.29 ± 0.35	False	REAL	REAL — Source figure labels it EC50; database records IC50, distinct endpoints despite identical value.	Same antiviral value is reported in source under EC50, not IC50 E.
doi__10.1016_j.antiviral.2013.11.013	DBAASP	DBAASP:DBAASPR_4331	endpoint_mismatch		Vero cells	IC50	26.15±1.91	1	Hp1239	CC50 (μM)b	26.15 ± 1.91	False	REAL	REAL — value matches but source labels it CC50 (cytotoxicity), not IC50; distinct endpoints.	Same value is in source for Vero cells cytotoxicity, but source endpoint is CC50, not IC50.
doi__10.1016_j.antiviral.2013.11.013	DBAASP	DBAASP:DBAASPR_4331	endpoint_mismatch		HSV-1	IC50 E	4.32±0.47	1	Hp1239	EC50 (μM)a in the following assay	4.32 ± 0.47	False	REAL	REAL — source figure explicitly labels EC50, database records IC50; same value, mislabeled endpoint.	Same antiviral value is reported in source under EC50, not IC50 E.
doi__10.1016_j.antiviral.2013.11.013	DBAASP	DBAASP:DBAASPR_4330	endpoint_mismatch		HSV-1	IC50 I	0.43±0.09	1	Hp1036	EC50 (μM)a in the following assay	0.43 ± 0.09	False	REAL	REAL — endpoint mismatch: source figure reports EC50, database annotates the value as IC50.	Same antiviral value is reported in source under EC50, not IC50 I.
doi__10.1016_j.antiviral.2013.11.013	dbAMP	dbAMP:dbAMP_04703	endpoint_mismatch		"HSV-1 (IC50 I=0.43±0.09μM)
HSV-1 (EC50=2.87±0.16μM)
HSV-1 (IC50 E=4.29±0.35μM)
HSV-1 (EC50=7.86±0.80μM)"	text		1	Hp1036	EC50 (μM)a in the following assay	0.43 ± 0.09	False	REAL	REAL — value 0.43±0.09 labeled IC50 in db but EC50 in source figure.	Text labels 0.43 as IC50 I, but the matching source cell is EC50; other listed values also appear under EC50.
doi__10.1016_j.antiviral.2013.11.013	dbAMP	dbAMP:dbAMP_04779	endpoint_mismatch		"HSV-1 (IC50 I=0.41±0.06μM)
HSV-1 (EC50=5.73±0.61μM)
HSV-1 (IC50 E=4.32±0.47μM)
HSV-1 (EC50=8.41±0.73μM)"	text		1	Hp1239	EC50 (μM)a in the following assay	0.41 ± 0.06	False	REAL	REAL — Figure column header reads EC50 for 0.41±0.06; database labels identical value IC50.	Text labels 0.41 as IC50 I, but the matching source cell is EC50; other listed values also appear under EC50.
doi__10.3389_fmicb.2018.02276	CAMP	CAMP:CAMPSQ24640	value_mismatch	Bacteriocin Plantaricin LPL-1	Listeria monocytogenes NICPBP 54002[MIC = 16 microg/ml], Listeria monocytogenes ATCC 19113[MIC = 16 microg/ml], Listeria monocytogenes ATCC 19114[MIC = 16 microg/ml], Staphylococcus aureus ATCC 13565[MIC = 32 microg/ml], Staphylococcus aureus ATCC 6538[MIC = 32 microg/ml], Staphylococcus aureus CVCC 26112[MIC = 32 microg/ml], Enterococcus faecalis[MIC = 32 microg/ml], Lactobacillus delbrueckii subsp. lactis[MIC = 16 microg/ml], Lactiplantibacillus plantarum[MIC = 16 microg/ml], Lactobacillus delbrueckii subsp. bulgaricus[MIC = 16 microg/ml], Ligilactobacillus salivarius[MIC = 16 microg/ml], Lactococcus lactis MG1363[MIC = 16 microg/ml], Bacillus amyloliquefaciens[MIC = 32 microg/ml], Bacillus pumilus[MIC = 32 microg/ml], Escherichia coli DH5alpha, Escherichia coli BL21, Escherichia coli BW25113, Escherichia coli JM109, Saccharomyces cerevisiae, Pichia pastoris GS115	text	Antibacterial, Antifungal	1	Saccharomyces cerevisiae	Activity (mm)	0	False	REAL	"REAL — sole fungal targets tested show zero inhibition, contradicting the ""Antifungal"" annotation."	DB includes Antifungal, but provided table reports 0 inhibition for Saccharomyces cerevisiae.
