rank,severity,paper_id,database,source_id,status,conflict_categories,conflict_summary,source_table,artifact_path
1,A,doi__10.1002_cbic.202100151,DBAASP,DBAASP:DBAASPS_18493,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,"DBAASP peptide_name uses R4L,S4L while the primary paper consistently names and tests the variant as R4L S8L; activity values match the source table, but the variant label conflict is preserved.",linked_assay_records.jsonl,papers/doi__10.1002_cbic.202100151/final/database_record_verification.json
2,A,doi__10.1007_s00018-020-03755-w,CAMP,CAMP:CAMPSQ12854,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,CAMP/dbAMP entry-level activity text aggregates Table 3 values rather than carrying one primary-source assay row per JSONL record; retained as a source-linked database conflict instead of promoted to row-level verified assay evidence.,linked_experiment_records.jsonl,papers/doi__10.1007_s00018-020-03755-w/final/database_record_verification.json
3,A,doi__10.1007_s00018-020-03755-w,CAMP,CAMP:CAMPSQ12855,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,CAMP/dbAMP entry-level activity text aggregates Table 3 values rather than carrying one primary-source assay row per JSONL record; retained as a source-linked database conflict instead of promoted to row-level verified assay evidence.,linked_experiment_records.jsonl,papers/doi__10.1007_s00018-020-03755-w/final/database_record_verification.json
4,A,doi__10.1007_s00018-020-03755-w,dbAMP,dbAMP:dbAMP_33012,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,CAMP/dbAMP entry-level activity text aggregates Table 3 values rather than carrying one primary-source assay row per JSONL record; retained as a source-linked database conflict instead of promoted to row-level verified assay evidence.,linked_experiment_records.jsonl,papers/doi__10.1007_s00018-020-03755-w/final/database_record_verification.json
5,A,doi__10.1007_s00018-020-03755-w,dbAMP,dbAMP:dbAMP_33013,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,CAMP/dbAMP entry-level activity text aggregates Table 3 values rather than carrying one primary-source assay row per JSONL record; retained as a source-linked database conflict instead of promoted to row-level verified assay evidence.,linked_experiment_records.jsonl,papers/doi__10.1007_s00018-020-03755-w/final/database_record_verification.json
6,A,doi__10.1007_s00018-022-04440-w,DBAASP,DBAASP:DBAASPS_22793,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,"source_conflict: primary source supports 10 µM CD4-PP biofilm prevention, but the database MBIC/MBIC50 endpoint label is not stated as an exact threshold term in the paper.",linked_assay_records.jsonl,papers/doi__10.1007_s00018-022-04440-w/final/database_record_verification.json
7,A,doi__10.1007_s00253-023-12947-w,APD6,APD6:AP04047,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"APD6 identity/citation are supported, but its free-text activity summary mixes row-level primary activity, stability-condition MIC loss, toxicity, and mechanism statements. The conflict is preserved instead of flattening the database summary into source_verified row-level evidence.",peptides.csv,papers/doi__10.1007_s00253-023-12947-w/final/database_record_verification.json
8,A,doi__10.1007_s00262-014-1540-0,DRAMP,DRAMP:DRAMP31842,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary source supports LTX-328 sequence/name and an IC50 >350 µM B16F1 row, but does not support the DRAMP FEMX-I target assignment for LTX-328 in this paper.",general_amps.txt,papers/doi__10.1007_s00262-014-1540-0/final/database_record_verification.json
9,A,doi__10.1007_s00726-017-2473-7,APD6,AP04794,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict,source_conflict: APD6 free-text row mixes primary-paper activity/structure statements with database-only similarity or external-context annotations; primary Table 1/Table 2 support is preserved but broad database text is not promoted to fully source_verified.,peptides.csv,papers/doi__10.1007_s00726-017-2473-7/final/database_record_verification.json
10,A,doi__10.1007_s00726-018-2575-x,CAMP,CAMPSQ16590,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,conflict: CAMP row is a broad qualitative activity annotation with a species-list spelling discrepancy and no quantitative table values; primary sequence and broad antibacterial scope are source-backed.,camp_r4_export/data/sequences.csv,papers/doi__10.1007_s00726-018-2575-x/final/database_record_verification.json
