paper_id	design_category	publication_year	xml_doi	title	release_observation_rows	safety_rows	safety_short_canonical_sequences	activity_rows	paired_activity_safety_paper_sequence_keys	censored_or_inequality_safety_rows	open_rework_ticket_count
doi__10.1002_advs.202507457	generative_or_ml_design	2025	10.1002/advs.202507457	Controllable Generation of Pathogen-Specific Antimicrobial Peptides Through Knowledge-Aware Prompt Diffusion Model	30	10	10	20	10	10	0
doi__10.1002_cbic.202100151	explicit_rational_or_de_novo_design	2021	10.1002/cbic.202100151	Molecular Basis of Selectivity and Activity for the Antimicrobial Peptide Lynronne-1 Informs Rational Design of Peptide with Improved Activity	19	4	1	15	1	1	0
doi__10.1002_pro.5088	generative_or_ml_design	2024	10.1002/pro.5088	De novo synthetic antimicrobial peptide design with a recurrent neural network	290	58	58	232	58	48	0
doi__10.1007_s00253-023-12887-5	analogue_or_optimization_candidate	2024	10.1007/s00253-023-12887-5	LL-37_Renalexin hybrid peptide exhibits antimicrobial activity at lower MICs than its counterpart single peptides	12	0	0	10	0	0	0
doi__10.1007_s00726-017-2473-7	analogue_or_optimization_candidate	2017	10.1007/s00726-017-2473-7	Retro analog concept: comparative study on physico-chemical and biological properties of selected antimicrobial peptides	132	0	0	132	0	0	0
doi__10.1007_s10526-022-10132-y	explicit_rational_or_de_novo_design	2022	10.1007/s10526-022-10132-y	The combination of Neosartorya (Aspergillus) fischeri antifungal proteins with rationally designed γ-core peptide derivatives is effective for plant and crop protection	122	0	0	87	0	0	0
doi__10.1007_s12539-016-0163-x	explicit_rational_or_de_novo_design	2016	10.1007/s12539-016-0163-x	Molecular Design, Structural Analysis and Antifungal Activity of Derivatives of Peptide CGA-N46	30	5	0	25	0	0	0
doi__10.1007_s12602-025-10542-1	analogue_or_optimization_candidate	2025	10.1007/s12602-025-10542-1	Discovery and Optimisation of Novel Bombinin-Derived Peptides from Bombina variegata against Staphylococcus aureus	295	9	8	284	8	2	0
doi__10.1016_j.antiviral.2005.10.005	explicit_rational_or_de_novo_design	2005	10.1016/j.antiviral.2005.10.005	Design and biological activities of novel inhibitory peptides for SARS-CoV spike protein and angiotensin-converting enzyme 2 interaction	8	0	0	0	0	0	0
doi__10.1016_j.biomaterials.2013.01.075	explicit_rational_or_de_novo_design	2013	10.1016/j.biomaterials.2013.01.075	Design of histidine-rich peptides with enhanced bioavailability and inhibitory activity against hepatitis C virus	9	3	0	0	0	0	0
doi__10.1016_j.csbj.2021.08.039	analogue_or_optimization_candidate	2021	10.1016/j.csbj.2021.08.039	Generation of truncated derivatives through in silico enzymatic digest of peptide GV30 target MRSA both in vitro and in vivo	340	12	0	332	0	0	0
doi__10.1016_j.csbj.2023.05.006	analogue_or_optimization_candidate	2023	10.1016/j.csbj.2023.05.006	Discovery and analysis of a novel antimicrobial peptide B1AW from the skin secretion of Amolops wuyiensis and improving the membrane-binding affinity through the construction of the lysine-introduced analogue	88	4	0	78	0	0	0
doi__10.1016_j.csbj.2024.09.006	analogue_or_optimization_candidate	2024	10.1016/j.csbj.2024.09.006	Discovery, development and optimisation of a novel frog antimicrobial peptide with combined mode of action against drug-resistant bacteria	266	14	5	229	5	4	0
doi__10.1016_j.jare.2024.02.016	generative_or_ml_design	2024	10.1016/j.jare.2024.02.016	Machine learning and genetic algorithm-guided directed evolution for the development of antimicrobial peptides	72	0	0	72	0	0	0
doi__10.1016_j.jare.2024.09.017	analogue_or_optimization_candidate	2025	10.1016/j.jare.2024.09.017	Optimizing therapeutic efficacy of antifungal peptides via strategic terminal amino acid modification	725	15	0	633	0	2	0
doi__10.1016_j.jbc.2021.100657	analogue_or_optimization_candidate	2021	10.1016/j.jbc.2021.100657	Optimized serum stability and specificity of an αvβ6 integrin-binding peptide for tumor targeting	21	0	0	0	0	0	0
doi__10.1016_j.peptides.2003.07.025	analogue_or_optimization_candidate	2003	10.1016/j.peptides.2003.07.025	In vitro and in vivo antimicrobial activity of two α-helical cathelicidin peptides and of their synthetic analogs	64	3	0	36	0	0	0
doi__10.1021_acs.jafc.1c08139	analogue_or_optimization_candidate	2022	10.1021/acs.jafc.1c08139	Bacterial Lipodepsipeptides and Some of Their Derivatives and Cyclic Dipeptides as Potential Agents for Biocontrol of Pathogenic Bacteria and Fungi of Agrarian Plants	76	0	0	76	0	0	0
doi__10.1021_acs.jmedchem.3c00460	analogue_or_optimization_candidate	2023	10.1021/acs.jmedchem.3c00460	To Fold or Not to Fold: Diastereomeric Optimization of an α-Helical Antimicrobial Peptide	436	45	5	380	5	17	0
doi__10.1021_acs.jmedchem.4c00912	explicit_rational_or_de_novo_design	2024	10.1021/acs.jmedchem.4c00912	Computational Design of Pore-Forming Peptides with Potent Antimicrobial and Anticancer Activities	113	0	0	53	0	0	0
doi__10.1021_acs.jmedchem.8b00890	explicit_rational_or_de_novo_design	2018	10.1021/acs.jmedchem.8b00890	De Novo Design of α-Helical Lipopeptides Targeting Viral Fusion Proteins: A Promising Strategy for Relatively Broad-Spectrum Antiviral Drug Discovery	51	4	0	0	0	4	0
doi__10.1021_acsinfecdis.4c00130	analogue_or_optimization_candidate	2024	10.1021/acsinfecdis.4c00130	Strategic Single-Residue Substitution in the Antimicrobial Peptide Esc(1-21) Confers Activity against Staphylococcus aureus, Including Drug-Resistant and Biofilm Phenotype	42	1	0	38	0	0	0
doi__10.1021_acsomega.0c00442	generative_or_ml_design	2020	10.1021/acsomega.0c00442	Variational Autoencoder for Generation of Antimicrobial Peptides	42	0	0	0	0	0	0
doi__10.1021_acsomega.0c02088	generative_or_ml_design	2020	10.1021/acsomega.0c02088	Generating Ampicillin-Level Antimicrobial Peptides with Activity-Aware Generative Adversarial Networks	11	0	0	11	0	0	0
