paper_id	database	error_type	db_peptide	db_organism	db_endpoint	db_value	source_table	source_row	source_col	source_value	reason
doi__10.1007_s12602-025-10542-1	DBAASP	value_mismatch	Bombinin-H2L/BH2LS [V9K,G10K]	Escherichia coli ATCC 8739	MBC	32	3	E. coli ATCC 8739	[Lys7, 8]BH2L	4/4	Source Table 3 shows MIC/MBC=4/4 µM for [Lys7,8]BH2L (matches DB [V9K,G10K] by sequence: V9→K, G10→K) vs E. coli ATCC 8739; DB claims MBC=32 µM but source gives
doi__10.1016_j.antiviral.2013.11.013	DBAASP	endpoint_mismatch		Vero cells	IC50	46.71±3.80	1	Hp1036	CC50 (μM)b	46.71 ± 3.80	Value matches Hp1036 CC50 in Table 1 exactly, but DB labels it IC50. Source footnote explicitly defines CC50 as 50% cytotoxic concentration, which is distinct f
doi__10.1016_j.antiviral.2013.11.013	DBAASP	endpoint_mismatch		HSV-1	IC50 I	0.43±0.09	1	Hp1036	EC50 (μM)a in the following assay	0.43 ± 0.09	Value matches Hp1036 EC50 (viral inactivation) in Table 1, but DB labels it IC50 I. Source column header and footnote explicitly designate this as EC50, not IC5
doi__10.1016_j.antiviral.2013.11.013	DBAASP	endpoint_mismatch		HSV-1	IC50 E	4.29±0.35	1	Hp1036	EC50 (μM)a in the following assay	4.29 ± 0.35	Value matches Hp1036 EC50 (viral entry) in Table 1, but DB labels it IC50 E. Source column header explicitly designates this as EC50, not IC50.
doi__10.1016_j.antiviral.2013.11.013	DBAASP	endpoint_mismatch		Vero cells	IC50	26.15±1.91	1	Hp1239	CC50 (μM)b	26.15 ± 1.91	Value matches Hp1239 CC50 in Table 1 exactly, but DB labels it IC50. Source footnote explicitly defines CC50 as 50% cytotoxic concentration, which is distinct f
doi__10.1016_j.antiviral.2013.11.013	DBAASP	endpoint_mismatch		HSV-1	IC50 I	0.41±0.06	1	Hp1239	EC50 (μM)a in the following assay	0.41 ± 0.06	Value matches Hp1239 EC50 (viral inactivation) in Table 1, but DB labels it IC50 I. Source column header and footnote explicitly designate this as EC50, not IC5
doi__10.1016_j.antiviral.2013.11.013	DBAASP	endpoint_mismatch		HSV-1	IC50 E	4.32±0.47	1	Hp1239	EC50 (μM)a in the following assay	4.32 ± 0.47	Value matches Hp1239 EC50 (viral entry) in Table 1, but DB labels it IC50 E. Source column header explicitly designates this as EC50, not IC50.
doi__10.1021_acs.jmedchem.3c00460	DBAASP	value_mismatch	HP3	Pseudomonas aeruginosa PA14	MIC	2	2	HP3	PA14b	4	Table 2 (formal data table) shows HP3 MIC vs P. aeruginosa PA14 = 4 µg/mL; DB claims 2 µg/mL. Confirmed discrepancy from a formal table.
doi__10.1038_s41467-020-16950-x	DBAASP	value_mismatch	Arenicin-3 [V6,8A;Y9K;V13L], NZ17126	Escherichia coli ATCC 25922	MIC	0.5	2	NZ17126	E. coli ATCC 25922 / MIC	0.125	Source Table 2 shows NZ17126 MIC=0.125 µg/mL vs E. coli ATCC 25922; DB claims 0.5—a 4-fold discrepancy not explained by normalization.
doi__10.1038_s41467-020-16950-x	DBAASP	value_mismatch	Arenicin-3 [V6,8A;Y9K;V13L], NZ17126	Escherichia coli ATCC 25922	MIC	2	2	NZ17126	E. coli ATCC 25922 / MIC	0.125	Source Table 2 shows NZ17126 MIC=0.125 µg/mL vs E. coli ATCC 25922; DB claims 2—a 16-fold discrepancy not explained by normalization.
