release_id	paper_id	doi	review_status	publication_grade	source_reviewed	public_v1_included	exclusion_reason	database_audit_records	activity_records	mechanism_claims	reviewed_at	review_model	reasoning_effort	materials_exhausted	validator_contract_passed	final_outputs_ready	caution_count	open_rework_ticket_count	source_final_review_path
amp-evidence-atlas-v1-rc2	doi__10.1002_advs.202205301		accepted_with_cautions	true	true	true		5	160	9	2026-04-29T08:21:50Z	gpt-5.5	xhigh		true	True	7	0	papers/doi__10.1002_advs.202205301/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_advs.202401793		accepted_with_cautions	true	true	true		123	89	4	2026-05-01T01:06:01Z	gpt-5.5	xhigh		true		3	0	papers/doi__10.1002_advs.202401793/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_advs.202507457	10.1002/advs.202507457	accepted_with_cautions	true	true	true		78	30	3	2026-05-01T16:42:35Z	gpt-5.5	xhigh		true	True	5	0	papers/doi__10.1002_advs.202507457/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_advs.202516470		accepted_with_cautions	true	true	true		119	98	4	2026-05-01T10:13:58Z	gpt-5.5	xhigh		true		6	0	papers/doi__10.1002_advs.202516470/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_anie.201901589	10.1002/anie.201901589	accepted_with_cautions	true	true	true		110	34	4	2026-05-01T00:52:54Z	gpt-5.5	xhigh		true	True	5	0	papers/doi__10.1002_anie.201901589/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_cbic.202100151	10.1002/cbic.202100151	accepted_with_cautions	true	true	true		43	19	4	2026-04-29T09:57:10Z	gpt-5.5	xhigh		true	True	3	0	papers/doi__10.1002_cbic.202100151/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_cbic.202100609		needs_targeted_rework	false	true	false	needs_targeted_rework	554	376	3	2026-05-02T01:36:24Z	gpt-5.5	xhigh		true	False	5	0	papers/doi__10.1002_cbic.202100609/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_cmdc.201600498		accepted_with_cautions	true	true	true		36	17	3	2026-05-01T00:42:51Z	gpt-5.5	xhigh		true	True	4	0	papers/doi__10.1002_cmdc.201600498/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_cmdc.201900465	10.1002/cmdc.201900465	accepted_with_cautions	true	true	true		453	323	4	2026-06-22T07:20:59Z	gpt-5.5	xhigh		true		5	0	papers/doi__10.1002_cmdc.201900465/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_cmdc.202200291		accepted_with_cautions	true	true	true		396	205	3	2026-05-02T01:58:27Z	gpt-5.5	xhigh		true		4	0	papers/doi__10.1002_cmdc.202200291/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_gch2.202200213		accepted_with_cautions	true	true	true		3	5	3	2026-05-01T02:14:25Z	gpt-5.5	xhigh		true		4	0	papers/doi__10.1002_gch2.202200213/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_mbo3.606	10.1002/mbo3.606	accepted_with_cautions	true	true	true		22	12	3	2026-05-01T17:17:38Z	gpt-5.5	xhigh		true	True	3	0	papers/doi__10.1002_mbo3.606/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_mlf2.12123		accepted_with_cautions	true	true	true		151	87	5	2026-05-01T17:31:04Z	gpt-5.5	xhigh		true		5	0	papers/doi__10.1002_mlf2.12123/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_open.201800130	10.1002/open.201800130	accepted_with_cautions	true	true	true		8	3	1	2026-05-01T17:55:00Z	gpt-5.5	xhigh		true	True	3	0	papers/doi__10.1002_open.201800130/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_pep2.24269		accepted_with_cautions	true	true	true		111	55	4	2026-05-01T10:31:42Z	gpt-5.5	xhigh		true		4	0	papers/doi__10.1002_pep2.24269/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_pld3.42	10.1002/pld3.42	accepted_with_cautions	true	true	true		26	15	2	2026-05-01T18:18:10Z	gpt-5.5	xhigh		true	True	3	0	papers/doi__10.1002_pld3.42/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1002_pro.5088		accepted_with_cautions	true	true	true		489	290	2	2026-06-22T08:39:29Z	gpt-5.5	xhigh		true		5	0	papers/doi__10.1002_pro.5088/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1007_s00018-020-03755-w	10.1007/s00018-020-03755-w	blocked_missing_primary_material	false	true	false	blocked_missing_primary_material	141	56	3	2026-05-02T02:18:15Z	gpt-5.5	xhigh		true	False	1	1	papers/doi__10.1007_s00018-020-03755-w/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1007_s00018-022-04440-w	10.1007/s00018-022-04440-w	accepted_with_cautions	true	true	true		25	30	3	2026-05-01T19:08:18Z	gpt-5.5	xhigh		true	True	4	0	papers/doi__10.1007_s00018-022-04440-w/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1007_s00018-023-04795-8		accepted_with_cautions	true	true	true		2	15	3	2026-05-01T19:24:16Z	gpt-5.5	xhigh		true		3	0	papers/doi__10.1007_s00018-023-04795-8/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1007_s00253-012-4578-y	10.1007/s00253-012-4578-y	accepted_with_cautions	true	true	true		13	23	2	2026-05-01T02:12:50Z	gpt-5.5	xhigh		true		5	0	papers/doi__10.1007_s00253-012-4578-y/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1007_s00253-016-7400-4	10.1007/s00253-016-7400-4	accepted_with_cautions	true	true	true		3	4	3	2026-05-01T03:03:17Z	gpt-5.5	xhigh		true	True	3	0	papers/doi__10.1007_s00253-016-7400-4/final/review_report.json
amp-evidence-atlas-v1-rc2	doi__10.1007_s00253-020-10685-x		blocked_missing_primary_material	false	true	false	blocked_missing_primary_material	10	34	4	2026-05-02T02:31:55Z	gpt-5.5	xhigh		true		2	0	papers/doi__10.1007_s00253-020-10685-x/final/review_report.json
