paper_id,doi,review_status,publication_grade,source_reviewed,public_v1_included,exclusion_reason,database_audit_records,activity_records,mechanism_claims,database_final_exists,activity_final_exists,mechanism_final_exists,review_report_exists
doi__10.1002_advs.202205301,,accepted_with_cautions,True,True,True,,5,160,9,True,True,True,True
doi__10.1002_advs.202401793,,accepted_with_cautions,True,True,True,,123,89,4,True,True,True,True
doi__10.1002_advs.202507457,10.1002/advs.202507457,accepted_with_cautions,True,True,True,,78,30,3,True,True,True,True
doi__10.1002_advs.202516470,,accepted_with_cautions,True,True,True,,119,98,4,True,True,True,True
doi__10.1002_anie.201901589,10.1002/anie.201901589,accepted_with_cautions,True,True,True,,110,34,4,True,True,True,True
doi__10.1002_cbic.202100151,10.1002/cbic.202100151,accepted_with_cautions,True,True,True,,43,19,4,True,True,True,True
doi__10.1002_cbic.202100609,,needs_targeted_rework,False,True,False,needs_targeted_rework,554,376,3,True,True,True,True
doi__10.1002_cmdc.201600498,,accepted_with_cautions,True,True,True,,36,17,3,True,True,True,True
doi__10.1002_cmdc.201900465,10.1002/cmdc.201900465,accepted_with_cautions,True,True,True,,453,323,4,True,True,True,True
doi__10.1002_cmdc.202200291,,accepted_with_cautions,True,True,True,,396,205,3,True,True,True,True
doi__10.1002_gch2.202200213,,accepted_with_cautions,True,True,True,,3,5,3,True,True,True,True
doi__10.1002_mbo3.606,10.1002/mbo3.606,accepted_with_cautions,True,True,True,,22,12,3,True,True,True,True
doi__10.1002_mlf2.12123,,accepted_with_cautions,True,True,True,,151,87,5,True,True,True,True
doi__10.1002_open.201800130,10.1002/open.201800130,accepted_with_cautions,True,True,True,,8,3,1,True,True,True,True
doi__10.1002_pep2.24269,,accepted_with_cautions,True,True,True,,111,55,4,True,True,True,True
doi__10.1002_pld3.42,10.1002/pld3.42,accepted_with_cautions,True,True,True,,26,15,2,True,True,True,True
doi__10.1002_pro.5088,,accepted_with_cautions,True,True,True,,489,290,2,True,True,True,True
doi__10.1007_s00018-020-03755-w,10.1007/s00018-020-03755-w,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,141,56,3,True,True,True,True
doi__10.1007_s00018-022-04440-w,10.1007/s00018-022-04440-w,accepted_with_cautions,True,True,True,,25,30,3,True,True,True,True
doi__10.1007_s00018-023-04795-8,,accepted_with_cautions,True,True,True,,2,15,3,True,True,True,True
doi__10.1007_s00253-012-4578-y,10.1007/s00253-012-4578-y,accepted_with_cautions,True,True,True,,13,23,2,True,True,True,True
doi__10.1007_s00253-016-7400-4,10.1007/s00253-016-7400-4,accepted_with_cautions,True,True,True,,3,4,3,True,True,True,True
doi__10.1007_s00253-020-10685-x,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,10,34,4,True,True,True,True
doi__10.1007_s00253-023-12887-5,10.1007/s00253-023-12887-5,accepted_with_cautions,True,True,True,,11,12,3,True,True,True,True
doi__10.1007_s00253-023-12947-w,,accepted_with_cautions,True,True,True,,3,134,3,True,True,True,True
doi__10.1007_s00262-014-1540-0,10.1007/s00262-014-1540-0,accepted_with_cautions,True,True,True,,3,12,3,True,True,True,True
